country,asylumTotal,entry,population,asylumByPop
Belgium,44665,,11237274,39.74718424
Bulgaria,20375,200000,7202198,28.28997481
Czech Republic,1515,,10538275,1.437616688
Denmark,20940,,5659715,36.99832942
Germany,476510,,81197537,58.68527761
Estonia,230,,1314870,1.749222357
Ireland,3270,,4628949,7.064238556
Greece,13210,200000,10858018,12.16612461
Spain,14780,10000,46449565,3.181945837
France,76165,,66488186,11.45541856
Croatia,205,,4225316,0.4851708133
Italy,83535,100000,60795612,13.74030086
Cyprus,2265,,847008,26.7411878
Latvia,335,,1986096,1.68672612
Lithuania,320,,2921262,1.095416981
Luxembourg,2505,,562958,44.4971028
Hungary,177130,,9855571,179.7257612
Malta,1850,,429344,43.08899158
Netherlands,44975,,16900726,26.61128285
Austria,88160,,8576261,102.795379
Poland,12185,,38005614,3.206105287
Portugal,900,,10374822,0.8674847626
Romania,1255,,19870647,0.6315848699
Slovenia,275,,2062874,1.333091599
Slovakia,325,,5421349,0.5994817895
Finland,32345,,5471753,59.1126829
Sweden,162455,,9747355,166.6657262
United Kingdom,40150,,64875165,6.188808922
Iceland,345,,336728,10.24565822
Liechtenstein,155,,37461,41.37636475
Norway,31115,,5142842,60.50156703
Switzerland,39450,,8238610,47.88429116
Total,1393880,,,
